,Emp ID,Name_prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,DOB,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password,Test_date,Day,Month,Year
0,677509.0,Drs.,Lois,H,Walker,F,lois.walker@hotmail.com,Donald Walker,Helen Walker,2013-03-02 00:00:00,2:31:49 AM,36.36,60.0,11/24/2003,Q4,H2,2003.0,11.0,November,Nov,24.0,Monday,Mon,13.68,168251.0,21%,467-99-4677,303-572-8492,Denver,Denver,Denver,CO,80224.0,West,lhwalker,DCa}.T}X:v?NP,29/03/1998,2,3,2013
1,940761.0,Ms.,Brenda,S,Robinson,F,brenda.robinson@gmail.com,Raymond Robinson,Judy Robinson,2013-04-02 00:00:00,12:13:27 PM,47.02,60.0,7/27/2008,Q3,H2,2008.0,7.0,July,Jul,27.0,Sunday,Sun,9.01,51063.0,27%,537-71-4566,225-945-4954,Stonewall,De Soto,Stonewall,LA,71078.0,South,bsrobinson,TCo\j#Zg;SQ~o,"11, June 1998",2,4,2013
2,428945.0,Dr.,Joe,W,Robinson,M,joe.robinson@gmail.com,Scott Robinson,Stephanie Robinson,2013-05-02 00:00:00,10:45:36 AM,54.15,68.0,8/3/2016,Q3,H2,2016.0,8.0,August,Aug,3.0,Wednesday,Wed,0.98,50155.0,16%,025-92-3584,219-904-2161,Michigantown,Clinton,Michigantown,IN,46057.0,Midwest,jwrobinson,GO4$J8MiEh[A,"0011, June 1992",2,5,2013
3,408351.0,Drs.,Diane,I,Evans,F,diane.evans@yahoo.com,Jason Evans,Michelle Evans,2013-06-02 00:00:00,2:18:45 AM,39.67,51.0,4/16/1999,Q2,H1,1999.0,4.0,April,Apr,16.0,Friday,Fri,18.3,180294.0,1%,314-35-9851,215-793-6791,Hydetown,Crawford,Hydetown,PA,16328.0,Northeast,dievans,0gGRtp1HfL<r5,13-12-1998,2,6,2013
4,193819.0,,Benjamin,R,,M,benjamin.russell@charter.net,Gregory Russell,,2013-07-02 00:00:00,5:41:11 PM,40.31,58.0,7/25/2013,Q3,H2,2013.0,7.0,July,Jul,25.0,Thursday,Thu,4.01,117642.0,13%,121-98-7248,262-404-2252,Fremont,Waupaca,Fremont,WI,54940.0,Midwest,brrussell,Rd<Y8cp!@R;*%F,,2,7,2013
5,499687.0,Mr.,Patrick,F,Bailey,M,patrick.bailey@aol.com,Ralph Bailey,Laura Bailey,2013-08-02 00:00:00,1:12:41 PM,34.86,58.0,7/22/2005,Q3,H2,2005.0,7.0,July,Jul,22.0,Friday,Fri,12.02,72305.0,5%,439-99-7721,319-812-6957,Macksburg,Madison,Macksburg,IA,50155.0,Midwest,pfbailey,K7&5aY/*,"Jan, 2019 20",2,8,2013
6,539712.0,Ms.,Nancy,T,Baker,F,nancy.baker@bp.com,Scott Baker,Judy Baker,2002-03-23 00:00:00,8:56:32 PM,22.14,50.0,9/14/2016,Q3,H2,2016.0,9.0,September,Sep,14.0,Wednesday,Wed,0.87,98189.0,0%,641-29-2071,229-336-5117,Atlanta,Fulton,Atlanta,GA,30334.0,South,ntbaker,xJdKlAcYQhT_BE#,,23,3,2002
7,380086.0,Mrs.,Carol,V,Murphy,F,carol.murphy@gmail.com,Eugene Murphy,Katherine Murphy,2002-03-24 00:00:00,10:39:33 AM,59.12,40.0,1/28/1983,Q1,H1,1983.0,1.0,January,Jan,28.0,Friday,Fri,34.52,60918.0,20%,423-67-7023,216-336-0009,Blanchester,Clinton,Blanchester,OH,45107.0,Midwest,cvmurphy,Uc+VG%vuZU<k,,24,3,2002
8,477616.0,Hon.,Frances,B,Young,F,frances.young@gmail.com,Fred Young,Lillian Young,2002-03-25 00:00:00,4:38:47 PM,58.18,42.0,4/27/1994,Q2,H1,1994.0,4.0,April,Apr,27.0,Wednesday,Wed,23.27,121587.0,28%,028-92-8912,210-819-9765,Delmita,Starr,Delmita,TX,78536.0,South,fbyoung,K}^USc0l7[A,,25,3,2002
9,162402.0,Hon.,Diana,T,Peterson,F,diana.peterson@hotmail.co.uk,Jonathan Peterson,Christina Peterson,2002-03-26 00:00:00,3:59:26 AM,29.73,60.0,2/17/2014,Q1,H1,2014.0,2.0,February,Feb,17.0,Monday,Mon,3.44,43010.0,4%,512-33-6767,479-783-5656,Eureka Springs,Carroll,Eureka Springs,AR,72632.0,South,dtpeterson,3o8>v&tYxjyEAo,,26,3,2002
